compound,score
haloperidol,-0.479973441
enalapril,-0.479972043
rosuvastatin,-0.479953744
cyclosporin-a,-0.479879032
zidovudine,-0.479819449
naproxen,-0.479796964
fexofenadine,-0.479794085
lerisetron,-0.479790178
pantoprazole,-0.479753016
dapagliflozin,-0.479677111
tirasemtiv,-0.479625565
R-428,-0.479624073
sunitinib,-0.479618348
VGX-1027,-0.479605284
ABT-724,-0.479604608
cinepazide,-0.479498176
famotidine,-0.479494522
oxiconazole,-0.479477088
tioconazole,-0.479436823
tadalafil,-0.47942102
vinpocetine,-0.479420401
levobunolol,-0.479416946
pranlukast,-0.479361802
SB-939,-0.479340009
fosfomycin,-0.479335748
benzthiazide,-0.479260755
milrinone,-0.4791661
lasalocid,-0.479162518
luteolin,-0.479057572
TPCA-1,-0.479029217
tegobuvir,-0.478998407
medrysone,-0.478938011
ixabepilone,-0.478930245
eplerenone,-0.478922685
tenidap,-0.478921335
CPI-1189,-0.478882175
metformin,-0.478881556
glycitein,-0.478872874
PK-11195,-0.478863591
probucol,-0.478755026
cinoxacin,-0.478722188
elacridar,-0.478721555
masitinib,-0.47871145
voglibose,-0.478628146
ampalex,-0.478582657
XMD-885,-0.478578115
efatutazone,-0.478541773
melperone,-0.47847085
amantadine,-0.478454005
norethindrone,-0.478434522
SR-2640,-0.478414642
alaproclate,-0.478358747
dextromethorphan,-0.478335313
piclamilast,-0.478271809
tamsulosin,-0.478261711
rimcazole,-0.478218081
zebularine,-0.478198537
pomalidomide,-0.47819487
bambuterol,-0.478147408
duloxetine,-0.478117044
trimipramine,-0.478112037
KIN001-244,-0.478104187
butoconazole,-0.47798562
leflunomide,-0.477947663
armodafinil,-0.477928121
SB-705498,-0.477911025
formoterol,-0.477899118
bepotastine,-0.477898926
nicergoline,-0.477878305
dosulepin,-0.47787035
valproic-acid,-0.477841281
TH-302,-0.47783518
indometacin,-0.47782443
oxybutynin,-0.477778143
loperamide,-0.477752336
KX2-391,-0.477751704
nicaraven,-0.477747569
fludroxycortide,-0.477722104
meglitinide,-0.477705783
L-690330,-0.477688706
triclabendazole,-0.477679215
alagebrium,-0.477668938
GSK-2636771,-0.477665614
dacarbazine,-0.477525954
indapamide,-0.477468245
torcetrapib,-0.477466196
folic-acid,-0.477462554
escitalopram,-0.477452237
KIN001-270,-0.477391917
nutlin-3,-0.477355393
methylstat,-0.477321208
fluticasone-propionate,-0.477314414
ketorolac,-0.477286211
allopurinol,-0.477271342
lamotrigine,-0.477244221
atorvastatin,-0.477237138
estriol,-0.47721252
AM-24,-0.477201665
dienogest,-0.477184987
trimethoprim,-0.477155697
indibulin,-0.477125491
clinafloxacin,-0.477107741
bevirimat-dimeglumine,-0.477087904
brivudine,-0.477087456
L-ergothioneine,-0.477081488
doxofylline,-0.477080798
Gossypetin,-0.477047948
glimepiride,-0.477025789
sertaconazole,-0.477015802
metatinib,-0.476960822
ponatinib,-0.47690273
vardenafil,-0.47684425
aphidicolin,-0.476781775
linezolid,-0.476777889
sasapyrine,-0.476754915
imexon,-0.47673873
APD-668,-0.476705233
chlorpromazine,-0.476703016
SB-743921,-0.476669239
carvedilol,-0.476661514
propylthiouracil,-0.476635237
losmapimod,-0.476590552
bucladesine,-0.476530656
AR-A014418,-0.476498198
chlorphenamine,-0.476460798
T-5224,-0.476440431
penicillin-v-potassium,-0.47634466
carbamazepine,-0.476289151
ondansetron,-0.476279817
erythromycin-ethylsuccinate,-0.476270985
ibuprofen,-0.47626585
histamine,-0.476259998
JNJ-26481585,-0.476255451
benazepril,-0.476243002
thioguanine,-0.476154749
SK&F-10047-(+),-0.476135948
tipifarnib-P2,-0.476108066
clomifene,-0.476093497
AST-1306,-0.476079197
roquinimex,-0.476069996
argatroban,-0.476057406
senicapoc,-0.475974129
enprofylline,-0.475952286
atovaquone,-0.475946611
PSI-6130,-0.475945585
AMG-487,-0.475928872
ecabet,-0.475902397
PHA-767491,-0.475883668
lamivudine,-0.475873484
physostigmine,-0.475865669
cyproterone-acetate,-0.475820365
goserelin-acetate,-0.475817767
cilengitide,-0.475800678
volasertib,-0.475798484
retigabine,-0.475746394
camptothecin,-0.47569412
clomethiazole,-0.475659907
pinitol,-0.475634428
elvitegravir,-0.475615243
ciglitazone,-0.475579598
pyrazolanthrone,-0.475567988
mepacrine,-0.475555137
licarbazepine,-0.475545378
lopinavir,-0.475496879
chrysin,-0.475468826
mestinon,-0.475433496
piketoprofen,-0.475406113
minoxidil,-0.475394507
cinnarizine,-0.475359849
lodoxamide,-0.475264415
TG-100801,-0.475199354
talmapimod,-0.475182142
dicloxacillin,-0.475138761
KN-62,-0.475135898
D-serine,-0.475031108
VT-464,-0.474980351
phenformin,-0.474974672
ibudilast,-0.47494675
amitriptyline,-0.474944493
cutamesine,-0.474935126
amikacin,-0.474898643
sulforaphane,-0.474873097
etofylline-clofibrate,-0.474872104
eugenol,-0.474847375
ALW-II-38-3,-0.474808398
LY-215490,-0.474762856
N6022,-0.474757844
tacrolimus,-0.474732851
potassium-canrenoate,-0.474690791
dexloxiglumide,-0.47465037
GSK-J4,-0.474649736
travoprost,-0.474645984
climbazole,-0.474640394
ramelteon,-0.474623003
ixazomib,-0.474603569
voriconazole,-0.474535503
2-iminobiotin,-0.474492588
YM-155,-0.474459852
atracurium,-0.474452562
lonafarnib,-0.474365235
PF-04447943,-0.474273353
castanospermine,-0.474254145
clofoctol,-0.474164126
moxonidine,-0.474139805
gimeracil,-0.474117136
PF-04136309,-0.474092247
E-2012,-0.474077516
acetazolamide,-0.474021283
irinotecan,-0.473960233
aminocaproic-acid,-0.473949022
lofexidine,-0.473906809
albendazole,-0.473815205
thioctic-acid,-0.473747989
berberine,-0.473711503
dasabuvir,-0.473665342
mitiglinide,-0.473639054
epz004777,-0.47360949
cabazitaxel,-0.47355367
methyldopa,-0.473538714
PD-123319,-0.473495446
chloroquine,-0.473473286
epinephrine,-0.473376521
etoricoxib,-0.473320439
sotalol,-0.473320314
semaxanib,-0.473304898
tioguanine,-0.473289154
meisoindigo,-0.473240161
PKI-179,-0.473231078
dexfenfluramine,-0.47321638
erlotinib,-0.473210474
lacitol,-0.473204272
sulbutiamine,-0.473196103
erteberel,-0.473189222
ursolic-acid,-0.473132631
CI-966,-0.473102672
flumatinib,-0.473063568
menadione,-0.473050471
bardoxolone-methyl,-0.472974966
GSK-256066,-0.472949104
temoporfin,-0.472877387
daunorubicin,-0.472784543
ABT-202,-0.472698081
API-001,-0.472685413
NVP-BHG712,-0.472679744
riluzole,-0.472584916
dopamine,-0.472563522
tomelukast,-0.472553794
deforolimus,-0.472511619
rociletinib,-0.472458759
levcromakalim,-0.472380683
afloqualone,-0.472333004
tonabersat,-0.472318942
tedizolid,-0.472179788
quinine,-0.472165193
etanidazole,-0.472141033
RG-108,-0.472139904
lacosamide,-0.47213493
hydroflumethiazide,-0.472106145
KN-93,-0.472100583
bruceantin,-0.472083337
miltefosine,-0.472076488
tetrabenazine,-0.472001675
amiodarone,-0.471973717
dolastatin-10,-0.471956721
milnacipran,-0.471936191
triclosan,-0.47191632
linagliptin,-0.471909315
SB-271046,-0.471895625
rebastinib,-0.471893943
glafenine,-0.471801237
PD-153035,-0.471769943
BVD-523,-0.471688798
anastrozole,-0.47167417
methoxsalen,-0.471635116
CT-7758,-0.471621229
hymecromone,-0.471611551
GSK-3-inhibitor-II,-0.471572137
dolutegravir,-0.471518613
solifenacin-succinate,-0.471499914
tizanidine,-0.471489725
tyrphostin-AG-112,-0.471488398
5-aminolevulinic-acid,-0.471445731
butaclamol,-0.47140718
nitrendipine,-0.471307372
isbufylline,-0.471291239
metamizole,-0.471260145
carbenoxolone,-0.471152959
melatonin,-0.471042946
almitrine,-0.471007236
17-hydroxyprogesterone-caproate,-0.470998552
fadrozole,-0.470983469
refametinib,-0.470964442
chlorambucil,-0.470962296
josamycin,-0.470950774
anidulafungin,-0.47088664
KIN001-260,-0.470846627
delanzomib,-0.470846111
metolazone,-0.470741618
bisoprolol,-0.470726081
oglemilast,-0.470691112
iguratimod,-0.47068591
sacubitril,-0.470602291
cytarabine,-0.470557111
nateglinide,-0.470527936
dimethyl-fumarate,-0.470517393
regadenoson,-0.470501284
secnidazole,-0.470489169
anecortave-acetate,-0.470484617
finasteride,-0.470468096
fipronil,-0.470411927
AZD-2014,-0.47035312
diclofensine,-0.470298409
rilpivirine,-0.470262076
etazolate,-0.470177295
bretazenil,-0.470137072
quizartinib,-0.470100237
tiludronate,-0.470052954
cobicistat,-0.470007409
quercetin,-0.470006856
linsidomine,-0.469959987
nizofenone,-0.469928263
calpeptin,-0.469921334
rufinamide,-0.469913743
"16,16-dimethylprostaglandin-e2",-0.469910002
MLN-2480,-0.469810695
JTC-801,-0.469809567
lisofylline,-0.469802956
BMY-14802,-0.469760155
WAY-362450,-0.469699066
darifenacin,-0.469675706
mannitol-D,-0.469664796
dequalinium,-0.469654308
fenticonazole,-0.469627109
exifone,-0.469536139
pidotimod,-0.469485477
glasdegib,-0.46943939
AZD-7687,-0.469343629
trichostatin-a,-0.469240992
LXR-623,-0.469222266
RGFP-966,-0.469209119
tandutinib,-0.469206819
LY-2090314,-0.469188605
lobenzarit,-0.469166164
fluocinolone-acetonide,-0.469128003
tipiracil,-0.469097005
trifluridine,-0.469087908
eperezolid,-0.469079266
labetalol,-0.469007411
lidocaine,-0.46889031
AVL-292,-0.468873333
niguldipine,-0.468737503
PF-03084014,-0.46867444
mycophenolic-acid,-0.468584382
phenytoin,-0.468575813
oprozomib,-0.468554907
tolnaftate,-0.468545783
anagrelide,-0.468534987
inositol,-0.468530458
letermovir,-0.468502242
suvorexant,-0.468467382
arglabin,-0.468451519
rotigotine,-0.468439535
NF-449,-0.468431253
exalamide,-0.468383558
LCQ-908,-0.468358268
indoprofen,-0.46833736
fenoterol,-0.468329626
paclitaxel,-0.468269772
cromoglicic-acid,-0.468255249
MK-3207,-0.468184485
teroxirone,-0.468156287
mercaptopurine,-0.468117156
indirubin,-0.467971507
marimastat,-0.467884884
colforsin-daproate,-0.467826538
darunavir,-0.467822265
etomidate,-0.46780541
piracetam,-0.467751057
nimodipine,-0.467735427
aclidinium,-0.467661516
FK-866,-0.467538823
danazol,-0.467524525
balicatib,-0.467520139
trifluoperazine,-0.467498873
niacin,-0.467486112
clioquinol,-0.467423186
lidoflazine,-0.467405305
merimepodib,-0.467394905
piperidolate,-0.467345902
chlorthalidone,-0.467300002
LY-2801653,-0.467241874
phenazone,-0.467212634
2-methoxyestradiol,-0.467188483
imiloxan,-0.467164472
olprinone,-0.467151407
SCH-28080,-0.467100711
maribavir,-0.467052634
meptazinol,-0.4670481
probenecid,-0.467037066
selamectin,-0.466980865
bendamustine,-0.46694517
ataluren,-0.466901403
dinoprost,-0.466826315
norgestrel,-0.466768425
apabetalone,-0.466766084
zalcitabine,-0.466676205
moracizine,-0.466635176
zardaverine,-0.466625385
timolol,-0.466539292
agomelatine,-0.466335901
ZD-7288,-0.466279371
entinostat,-0.46627515
busulfan,-0.466261389
bisindolylmaleimide,-0.466228379
estradiol,-0.466178126
JNK-IN-5A,-0.466147853
A-769662,-0.466108013
lucitanib,-0.466047508
nefopam,-0.466035291
cefepime,-0.46602908
triamterene,-0.466027032
PCA-4248,-0.465970907
unc-0646,-0.465969734
doxazosin,-0.465964934
ginkgetin,-0.465891019
camicinal,-0.465854134
amtolmetin-guacil,-0.465822613
ketanserin,-0.465820676
ciprofloxacin,-0.465722618
AT-13387,-0.465711355
palovarotene,-0.465613168
tiabendazole,-0.465597502
esmolol,-0.465549834
Ro-4987655,-0.46552639
bopindolol,-0.465524023
cabergoline,-0.465507009
tamoxifen,-0.465485344
scopolamine,-0.465427871
doxepin,-0.465416676
PX-12,-0.465379976
ARP-101,-0.465251084
levomequitazine,-0.465198857
emtricitabine,-0.465186327
AZD-3514,-0.465185185
suprofen,-0.465170673
medroxyprogesterone-acetate,-0.465160997
AGP-103,-0.465103741
bemegride,-0.465036647
adoprazine,-0.464960994
XL-888,-0.464948761
equol,-0.464928636
empagliflozin,-0.464924293
otilonium,-0.464882714
nefiracetam,-0.464790955
granisetron,-0.464635448
glipizide,-0.464565046
quetiapine,-0.46454788
L-655240,-0.464510118
navitoclax,-0.464505589
mecamylamine,-0.464501814
reserpine,-0.4644498
alvimopan,-0.464394196
diminazene-aceturate,-0.464365664
resatorvid,-0.464309976
OTS-167,-0.46430167
actarit,-0.464295174
KBG,-0.464290387
AGK-2,-0.464144977
dihydroergocristine,-0.464126442
gatifloxacin,-0.464105788
fiacitabine,-0.464097179
retapamulin,-0.464089444
TIC10,-0.46407806
ICI-162846,-0.464054426
ofloxacin,-0.46404974
dinaciclib,-0.464012934
clofarabine,-0.463988268
fasudil,-0.463979763
BAY-K8644,-0.463945117
fosinopril,-0.463930524
ketotifen,-0.463895768
metoprolol,-0.46378822
mibampator,-0.463595268
orteronel,-0.463566746
efaproxiral,-0.463546414
SEP-227900,-0.463417786
sertraline,-0.463393741
tibolone,-0.463369583
MF-101,-0.463253396
midodrine,-0.46319009
praziquantel,-0.463176539
bendroflumethiazide,-0.463157649
canagliflozin,-0.463113368
ambroxol,-0.463105582
idasanutlin,-0.463072515
conivaptan,-0.463054751
ostarine,-0.463047793
pentobarbital,-0.463018993
ORG-9768,-0.463017987
ritonavir,-0.463010966
propranolol,-0.462816309
LY-2334737,-0.462808262
thiothixene,-0.462771184
olanzapine,-0.462712397
TTNPB,-0.462660593
CB-10-277-(free-acid),-0.462658297
tafamidis-meglumine,-0.462581622
prednisone,-0.462569569
metenkephalin,-0.46249365
tasisulam,-0.462475635
tacrine,-0.46242075
pentamidine,-0.462321457
ribavirin,-0.462280175
cladribine,-0.462178071
nicotinamide,-0.462131471
pinaverium,-0.462092795
rupatadine,-0.462085142
tramadol,-0.462068918
tolvaptan,-0.462016385
MGCD-265,-0.461930704
AS-703026,-0.461927563
CYT-997,-0.461844325
tecastemizole,-0.461832014
efavirenz,-0.461800841
theobromine,-0.461793635
ZK-811752,-0.461717824
vidarabine,-0.461714816
zileuton,-0.461690098
L-citrulline,-0.461587769
resorcinol,-0.461557231
SB-683698,-0.461459834
ranolazine,-0.461434297
pibenzimol,-0.461273129
febuxostat,-0.461223072
AZD-7545,-0.461201261
warfarin,-0.461197918
urea,-0.46117617
TAS-103,-0.461156578
SU-014813,-0.461116883
gemcitabine,-0.461055101
ursodiol,-0.460952951
gestrinone,-0.460924088
carisoprodol,-0.460908297
cilomilast,-0.46090775
mepazine,-0.460904459
procaine,-0.46088662
tagatose,-0.460884084
CNQX,-0.46087991
radezolid,-0.460879611
odanacatib,-0.460834831
carglumic-acid,-0.460738052
tamibarotene,-0.460670085
AGI-6780,-0.460616188
zaprinast,-0.46052033
ICI-192605,-0.460514376
adarotene,-0.460486817
genistein,-0.460477581
MK-0893,-0.46047065
Y-27152,-0.460429492
ciclesonide,-0.460329068
propentofylline,-0.460290036
sch 900776,-0.460224762
dipraglurant,-0.460120868
methocarbamol,-0.460118208
lenalidomide,-0.460087851
anandamide,-0.459848615
guanethidine,-0.459818428
omecamtiv-mecarbil,-0.45980572
GW-842166,-0.459800006
hexachlorophene,-0.459661303
NXY-059,-0.459642239
L-NAME,-0.459631005
JQ1-(+),-0.459629764
avagacestat,-0.459627193
dipyridamole,-0.459620031
pirenzepine,-0.459564229
tazobactam,-0.459560892
PH-797804,-0.459549906
MK-8245,-0.459543804
mephentermine,-0.459542962
budipine,-0.459483369
LACZ,-0.459459428
setiptiline,-0.459449401
teriflunomide,-0.45935982
raclopride,-0.459258616
netupitant,-0.459252187
homochlorcyclizine,-0.459195248
barasertib,-0.459111751
nepafenac,-0.458999916
ASC-J9,-0.45894957
lorazepam,-0.45894609
alvespimycin,-0.458899353
acipimox,-0.458834912
ZK-200775,-0.458763701
pazufloxacin,-0.458702105
meloxicam,-0.458453776
nikethamide,-0.458442646
reboxetine,-0.45834296
NSC-4644,-0.458231787
pritelivir,-0.458100401
LY-2886721,-0.458026449
bindarit,-0.457919407
VTP-27999,-0.457874131
ramipril,-0.457847858
delivert,-0.457785097
sulpiride,-0.457564841
LY-2784544,-0.457471709
SNX-2112,-0.457425277
S-ruxolitinib,-0.457384242
phensuximide,-0.457375222
protirelin,-0.457367306
balsalazide,-0.45731315
nafamostat,-0.457268191
golvatinib,-0.457228915
bazedoxifene,-0.457090793
acecainide,-0.457060981
pevonedistat,-0.457054308
selinexor,-0.457025584
ledipasvir,-0.45702221
cyclizine,-0.456942865
tirapazamine,-0.456912733
lupanine,-0.45685121
AZD-8931,-0.45678884
alizapride,-0.456692499
cevimeline,-0.456629032
bexarotene,-0.456575205
tetradecylthioacetic-acid,-0.456571247
betrixaban,-0.456559946
benzydamine,-0.456482231
sparfloxacin,-0.456459826
BIIB-021,-0.456405765
digoxin,-0.456319775
proguanil,-0.456299574
cyanocobalamin,-0.456265699
tirofiban,-0.456241094
nicotine,-0.456201375
niclosamide,-0.456066997
tasquinimod,-0.45602573
moxidectin,-0.455863847
bumetanide,-0.455859522
UK-383367,-0.455796376
artesunate,-0.455782131
AVN-944,-0.455707746
tolperisone,-0.455475753
mubritinib,-0.455398297
bavisant,-0.455343341
progesterone,-0.455323065
docetaxel,-0.455206617
tobramycin,-0.455197978
aminosalicylic-acid,-0.454855588
rosiglitazone,-0.454846638
EPZ-005687,-0.454771755
voreloxin,-0.454721043
EVP-6124,-0.454715458
lestaurtinib,-0.454659746
bropirimine,-0.454657692
buspirone,-0.454651953
relcovaptan,-0.454563218
lorcaserin,-0.454455354
elesclomol,-0.454358327
pimavanserin,-0.454208264
edoxudine,-0.454102895
okadaic acid,-0.454102111
MD-920,-0.454096079
tiagabine,-0.454076299
biperiden,-0.45393191
tolfenamic-acid,-0.453916972
piribedil,-0.45387101
balaglitazone,-0.453856114
bms-906024,-0.453793439
dimesna,-0.45368818
cholic-acid,-0.453681184
floxuridine,-0.453639145
esculin,-0.453630482
batimastat,-0.453568781
paroxetine,-0.45351368
AMD-11070,-0.453447178
tanespimycin,-0.453401311
podophyllotoxin,-0.453303145
gabapentin,-0.453294088
nebivolol,-0.453260443
LCL-161,-0.453050812
IPI-145,-0.452994308
colchicine,-0.452956564
brexpiprazole,-0.452940927
triptolide,-0.452836127
mefloquine,-0.452777884
latanoprost,-0.452395149
carbimazole,-0.452378545
ARN-509,-0.452357192
avasimibe,-0.452300969
maxacalcitol,-0.452190643
nelarabine,-0.452166959
closantel,-0.451696502
aminoguanidine,-0.451667425
dantrolene,-0.451608795
loxoprofen,-0.451544044
10-DEBC,-0.451542952
swainsonine,-0.45148445
sodium-gualenate,-0.451399433
levonorgestrel,-0.451357635
estrone,-0.451354999
isosorbide-mononitrate,-0.451135542
mycophenolate-mofetil,-0.451080077
SR-33805,-0.4509129
resiquimod,-0.450864136
spironolactone,-0.450812767
moxifloxacin,-0.450753244
deferasirox,-0.450737803
dehydroepiandrosterone,-0.45073366
piretanide,-0.4506932
epz-5676,-0.450499398
cyclobenzaprine,-0.450429375
levocetirizine,-0.45041544
EMD-1214063,-0.450379676
xaliproden,-0.450376509
isoconazole,-0.450336333
malotilate,-0.450321975
TG-100115,-0.450179785
anacetrapib,-0.450179077
torasemide,-0.450157088
epothilone-b,-0.450072605
S-18986,-0.449998929
safingol,-0.449867349
eflornithine,-0.449807643
indiplon,-0.449640377
clemizole,-0.44943984
clinofibrate,-0.449202539
felbamate,-0.449092726
formestane,-0.448985901
mocetinostat,-0.448793978
PA-824,-0.448754867
liranaftate,-0.448618155
inosine,-0.448106542
fidarestat,-0.448054278
CX-4945,-0.447846126
desvenlafaxine,-0.447767989
ketoprofen,-0.447601159
tretinoin,-0.447155266
SB-756050,-0.446300886
itopride,-0.446252729
tyrphostin-1,-0.446207565
salermide,-0.445558425
picolinic-acid,-0.444990541
naphazoline,-0.444948469
donepezil,-0.444796203
chlormezanone,-0.444678242
emedastine,-0.444478154
timonacic,-0.444447181
zofenopril-calcium,-0.444443672
miglitol,-0.444108832
RU-58841,-0.443831522
lisinopril,-0.443816585
PS-178990,-0.443677558
tanaproget,-0.443630125
penitrem-a,-0.443502432
altanserin,-0.443265813
tramiprosate,-0.443210105
tranilast,-0.442943241
ammonium-glycyrrhizinate,-0.442840697
SU-11652,-0.442827999
doxorubicin,-0.442647151
YM-976,-0.442499773
tracazolate,-0.442492749
flutrimazole,-0.442360649
talazoparib,-0.442100087
diethylstilbestrol,-0.441636586
CL-218872,-0.440918302
DMP-543,-0.440741752
istaroxime,-0.440707568
favipiravir,-0.440318982
gemfibrozil,-0.440173092
compound e,-0.439609511
buflomedil,-0.439528898
zonisamide,-0.439160132
ellagic-acid,-0.439108792
epirubicin,-0.438458565
smer-3,-0.438066092
homoharringtonine,-0.437558654
preladenant,-0.437318194
MK-0773,-0.436600164
topiramate,-0.436325978
telcagepant,-0.435370889
amlexanox,-0.435302627
maprotiline,-0.431452049
genz-644282,-0.431389242
epirizole,-0.431280566
drospirenone,-0.427106748
ticlopidine,-0.426813375
XL-147,-0.424735676
BRD-K73261812,-0.411274553
