compound,score
tibolone,-0.500196077
QL-X-138,-0.500179759
acetazolamide,-0.500166377
PSI-7976,-0.500165322
chlorphenamine,-0.500152605
itraconazole,-0.500149221
naftopidil,-0.500122223
amcinonide,-0.500054043
R-547,-0.500050524
bardoxolone-methyl,-0.500020772
rosiglitazone,-0.500009786
lumacaftor,-0.50000217
midostaurin,-0.499984484
sulpiride,-0.499964186
solifenacin-succinate,-0.499946069
belinostat,-0.499925481
pirenzepine,-0.499910648
BMS-599626,-0.499876707
indole-3-carbinol,-0.499869518
ursodiol,-0.499854525
bemegride,-0.499847429
XL-147,-0.49982377
PD-153035,-0.499728871
rigosertib,-0.499725305
nizofenone,-0.499668388
A-66,-0.49964241
TAK-733,-0.499610326
gestrinone,-0.49960633
clonazepam,-0.499570398
methylstat,-0.499493291
ischemin,-0.499483157
quinapril,-0.499467585
cariprazine,-0.499433948
piretanide,-0.499427705
RG-108,-0.499423772
xaliproden,-0.499395124
josamycin,-0.499378563
SB-705498,-0.499371002
altretamine,-0.499365708
VGX-1027,-0.499321662
umeclidinium,-0.499268159
hydrocortisone,-0.499266879
zonisamide,-0.49925461
cefozopran,-0.499149312
levocetirizine,-0.499132739
radezolid,-0.499118962
reparixin,-0.499109187
RHO-kinase-inhibitor-III[rockout],-0.499091955
secnidazole,-0.499085253
levamisole,-0.499066423
RU-58841,-0.49903827
tiludronate,-0.499008082
cariporide,-0.499007717
SK&F-10047-(+),-0.498987528
ERG,-0.498954578
rimexolone,-0.49892805
clinofibrate,-0.498920629
dimesna,-0.498909799
faropenem,-0.498877529
entecavir,-0.498829448
rebastinib,-0.498827967
fipronil,-0.498818363
doxepin,-0.498806219
cytisine,-0.498791033
levetiracetam,-0.498781788
lonafarnib,-0.498780973
indobufen,-0.498721924
andrographolide,-0.4987017
doxapram,-0.498698093
acecainide,-0.49866044
tedizolid,-0.498645423
pimavanserin,-0.498624955
glafenine,-0.498588341
dicloxacillin,-0.498558342
tacrine,-0.498523144
gemcitabine,-0.498479706
WZ-3105,-0.498460131
miglitol,-0.49845638
setiptiline,-0.498439471
AGP-103,-0.498357168
1271738-62-5,-0.498352608
tirasemtiv,-0.498351958
hypericin,-0.498336019
anandamide,-0.498321492
indinavir,-0.498317299
ziprasidone,-0.498282646
milacemide,-0.498271941
safinamide,-0.498236244
pentoxifylline,-0.498204833
miglustat,-0.498201683
fluspirilene,-0.498101177
carglumic-acid,-0.49809777
doxifluridine,-0.498086727
WYE-125132,-0.498067517
tadalafil,-0.498047287
reserpine,-0.497951335
inosine,-0.497946902
enzalutamide,-0.497894364
celecoxib,-0.497885111
tesaglitazar,-0.497882078
bendamustine,-0.49788176
triclabendazole,-0.497879858
RG-4733,-0.4978245
BRD-K68548958,-0.497816342
retapamulin,-0.497812174
OCO-1112,-0.497790591
JUN,-0.497743994
procaine,-0.497723094
PF-04691502,-0.497721143
mephentermine,-0.497719283
JW55,-0.497713603
acarbose,-0.497662893
lomeguatrib,-0.497638949
GSK-2110183,-0.497637758
"ICI-185,282",-0.497521276
dideoxyadenosine,-0.497500223
BIIB-021,-0.497449295
enalapril,-0.497436617
nicergoline,-0.497401559
simvastatin,-0.497401095
roquinimex,-0.497354898
esmolol,-0.497335601
theobromine,-0.497315672
levosimendan,-0.497313107
balsalazide,-0.497277008
lamotrigine,-0.497258406
ranolazine,-0.49719954
laropiprant,-0.497198247
epirubicin,-0.497187438
adatanserin,-0.497103777
minaprine,-0.497102326
proguanil,-0.497021371
ASC-J9,-0.49701952
lorazepam,-0.496995533
ZD-7114,-0.496964632
tetrabenazine,-0.496952489
MK-2461,-0.496829513
isradipine,-0.496804091
armodafinil,-0.496711612
"2',5'-dideoxyadenosine",-0.496575887
rasagiline,-0.496557559
ORG-9768,-0.496481804
osimertinib,-0.49647623
ixazomib-citrate,-0.496433118
bezafibrate,-0.496394316
buspirone,-0.496382639
PCI-24781,-0.496363996
rifabutin,-0.496327313
phenylacetylglutamine,-0.496287562
penfluridol,-0.496263375
ambroxol,-0.496256986
penciclovir,-0.496238035
Gossypetin,-0.496211124
iguratimod,-0.496182174
loratadine,-0.496182121
mifobate,-0.496179177
oxybuprocaine,-0.496128987
bexarotene,-0.496126843
clioquinol,-0.496115746
dopamine,-0.496104214
taselisib,-0.496066599
lasalocid,-0.49605873
tomelukast,-0.496055947
brivudine,-0.496039887
AMG-232,-0.496026322
fludarabine-phosphate,-0.495997332
disulfiram,-0.495974395
broxuridine,-0.4959684
nefopam,-0.495951709
piribedil,-0.49584458
levonorgestrel,-0.495802618
E-2012,-0.495788757
isosorbide-mononitrate,-0.49575135
ramelteon,-0.495737343
gliclazide,-0.495731496
lamivudine,-0.495693418
paracetamol,-0.495606465
tiapride,-0.495600989
oxybenzone,-0.495584704
preladenant,-0.495551668
closantel,-0.495510057
NF-449,-0.495486996
methazolamide,-0.495465527
rizatriptan,-0.495378895
cholic-acid,-0.495358804
AZD-9668,-0.49534685
sertraline,-0.495288671
tizanidine,-0.49525222
aminosalicylic-acid,-0.495232043
DMP-777,-0.495193648
losmapimod,-0.495162672
dolutegravir,-0.49514644
rupatadine,-0.495064527
beclomethasone-dipropionate,-0.495031404
cimetidine,-0.495024224
metronidazole,-0.49495822
GSK-2636771,-0.494929534
spironolactone,-0.494916821
finasteride,-0.494803421
BAY-K8644,-0.494802939
tolcapone,-0.494772903
sulbutiamine,-0.494766054
BIX-01294,-0.494743071
merbarone,-0.494666516
telmesteine,-0.494603868
VT-464,-0.494599178
maxacalcitol,-0.494560292
HG-14-10-04,-0.494536632
meclofenamic-acid,-0.494464653
KIN001-055,-0.494405083
forskolin,-0.494401684
oxymetazoline,-0.494390288
navitoclax,-0.494265292
L-655240,-0.493993111
mycophenolic-acid,-0.493954246
diclofensine,-0.493933241
temsirolimus,-0.493893938
avagacestat,-0.493893645
calpeptin,-0.493882118
etoricoxib,-0.493855711
entinostat,-0.493828031
selegiline,-0.493817575
indometacin,-0.493738602
VP-20629,-0.493682924
pasireotide,-0.49367374
tioconazole,-0.493646668
trilostane,-0.493645088
biperiden,-0.493623892
tacedinaline,-0.493598859
atracurium,-0.493592105
indoprofen,-0.493573405
lorglumide,-0.493572175
TLK2,-0.493524298
rilpivirine,-0.493520363
irbesartan,-0.493517697
dronedarone,-0.493507051
budipine,-0.49349264
yohimbine,-0.493490032
zofenopril-calcium,-0.493478961
tramiprosate,-0.493442247
halcinonide,-0.493424735
3-amino-benzamide,-0.493412157
deferiprone,-0.493365662
oxandrolone,-0.493298099
atrasentan,-0.493246347
SB-683698,-0.493240637
isoconazole,-0.493214481
etofylline-clofibrate,-0.493189311
emtricitabine,-0.493186222
pirfenidone,-0.493147929
levothyroxine,-0.493147858
glipizide,-0.493054581
phenylbutyrate,-0.493015657
sodium-tanshinone-ii-a-sulfonate,-0.492924447
prochlorperazine,-0.492921414
rotigotine,-0.492908152
otilonium,-0.492874574
trovafloxacin,-0.492832299
JTC-801,-0.492828075
retigabine,-0.492821616
betulinic-acid,-0.492728473
lidoflazine,-0.492727888
NXY-059,-0.492719455
carbamazepine,-0.492650831
moxisylyte,-0.492537917
FK-866,-0.492521296
filgotinib,-0.492490504
PRX-08066,-0.492440156
diltiazem,-0.49243327
itopride,-0.492433047
PLXNA1,-0.492386203
protriptyline,-0.492353441
EMD-1214063,-0.492349542
edoxudine,-0.492310022
SB-939,-0.492267807
methylnaltrexone,-0.492234984
sulmazole,-0.492216551
triflupromazine,-0.492192342
triclosan,-0.492167704
defactinib,-0.492112745
apafant,-0.492077133
moxidectin,-0.492068073
semaxanib,-0.491986386
amikacin,-0.491985368
telotristat,-0.491946549
butaclamol,-0.491861551
elesclomol,-0.491851236
salirasib,-0.491845626
ftorafur,-0.491791704
nepafenac,-0.49178621
NVP-BGJ398,-0.491776329
sasapyrine,-0.491730404
vidarabine,-0.491668175
ASA-404,-0.491656725
AZD-5363,-0.491581623
narlaprevir,-0.491553503
vortioxetine,-0.49154075
AZD-1981,-0.49151253
netupitant,-0.491481464
dexfenfluramine,-0.491464242
KU-60019,-0.491437079
AZD-1208,-0.491333441
trimetazidine,-0.491324253
BRAF,-0.491322142
tirapazamine,-0.491200668
homochlorcyclizine,-0.491142369
INSM2,-0.491126727
pirenoxine,-0.491120119
doxycycline,-0.491112194
PF-477736,-0.491101958
ifosfamide,-0.49109426
tolimidone,-0.490942491
letrozole,-0.490926994
fusidic-acid,-0.490828109
ondansetron,-0.490805364
clarithromycin,-0.490737288
naringenin,-0.490691154
KIN001-244,-0.490611885
ticagrelor,-0.490570918
dipraglurant,-0.490557672
SR-33805,-0.490487084
perhexiline,-0.49045666
VX-222,-0.490420204
alvimopan,-0.490301267
trimebutine,-0.49029442
dipyridamole,-0.490231805
indacaterol,-0.490146647
AMD-11070,-0.490130621
deoxycholic-acid,-0.490125735
malotilate,-0.490055927
danazol,-0.489937677
HDAC3,-0.489909782
NVP-BEZ235,-0.489733298
ursolic-acid,-0.489721782
alaproclate,-0.489704095
mepivacaine,-0.489681232
cytarabine,-0.489673284
acexamic-acid,-0.489672991
17-hydroxyprogesterone-caproate,-0.48960777
bindarit,-0.489603299
ostarine,-0.489579465
verteporfin,-0.489513486
candesartan,-0.489499974
clotrimazole,-0.489444856
torin-2,-0.489412068
medetomidine,-0.489395935
flumatinib,-0.489385398
WZ-4002,-0.489338567
doxorubicin,-0.489311635
cefotetan,-0.489289468
linagliptin,-0.489283828
SN-38,-0.489281605
tebipenem,-0.489241703
licochalcone-a,-0.489099603
glycopyrrolate,-0.489077896
tiabendazole,-0.489051876
thioguanine,-0.489042584
TTNPB,-0.48901749
agomelatine,-0.489007128
rabeprazole,-0.488960997
CT-7758,-0.488954512
relcovaptan,-0.488896402
zosuquidar,-0.488895548
FPL-62064,-0.4888898
CAMK1,-0.488889799
oxfendazole,-0.488827953
"16,16-dimethylprostaglandin-e2",-0.488797898
chloramphenicol,-0.488764757
tipranavir,-0.488749863
tagatose,-0.488736485
pterostilbene,-0.488728413
diflunisal,-0.488723093
benzylpenicillin,-0.488663289
BMS-707035,-0.488656322
nelarabine,-0.48862172
levalbuterol,-0.488609363
palovarotene,-0.48855754
3-deazaadenosine,-0.488540244
PD-123319,-0.488539482
ilomastat,-0.488505932
SMAD3,-0.488485528
ibuprofen,-0.48848505
oxypurinol,-0.488463588
pibenzimol,-0.48842478
propafenone,-0.488350649
noscapine,-0.488339319
AT-9283,-0.488285771
CTS-1027,-0.488271203
disopyramide,-0.488185412
meptazinol,-0.488177868
ivermectin,-0.48810856
AMG-208,-0.487992706
UnTrt,-0.487986846
metixene,-0.48797467
norgestrel,-0.487954656
lacidipine,-0.48791256
MTTP,-0.48787303
resatorvid,-0.487744238
chlorthalidone,-0.487731257
NSC-4644,-0.487697946
clofibric-acid,-0.487695171
hexachlorophene,-0.487679265
abiraterone-acetate,-0.487619886
SMAD4,-0.487612431
clozapine,-0.487586787
temozolomide,-0.487557151
felodipine,-0.48755603
LY-2874455,-0.48751229
NVP-TAE226,-0.48751105
rucaparib,-0.487481356
ganciclovir,-0.487418465
danegaptide,-0.487344114
nimodipine,-0.487257391
riociguat,-0.487234761
EVP-6124,-0.487227466
roxithromycin,-0.487226314
naphazoline,-0.487220781
CIC,-0.487164681
exifone,-0.487109363
ZSTK-474,-0.487063807
ranitidine,-0.48704669
KRT19,-0.486951439
MK-0893,-0.486902517
pimobendan,-0.486839739
bazedoxifene,-0.486739156
meclizine,-0.486712541
TGFBR2,-0.486698076
aspirin,-0.48665656
TAK-875,-0.486598169
brexpiprazole,-0.486579359
mubritinib,-0.486556869
varenicline,-0.48651365
zidovudine,-0.486489539
AMG-487,-0.486418905
levofloxacin,-0.486359657
kakonein,-0.486330383
oxiconazole,-0.486283811
valdecoxib,-0.486280331
KEAP1,-0.486179104
RS-127445,-0.486173812
MLN-0128,-0.486109475
DIDO1,-0.485993256
MAST4,-0.485951435
cyclobenzaprine,-0.485943141
pralatrexate,-0.485897549
temazepam,-0.485868404
JNJ-26481585,-0.485849121
MF-101,-0.485762925
alvespimycin,-0.48576227
ACLY,-0.485753951
lomerizine,-0.485686115
cyclizine,-0.485662591
glasdegib,-0.485556272
unc-0646,-0.485537918
ibutamoren,-0.485460106
UNC-0321,-0.485420785
hymecromone,-0.485402651
equol,-0.4853939
epz-5676,-0.485376816
taranabant,-0.485345409
actarit,-0.485323811
OTS-167,-0.485319358
ITGA11,-0.485313036
fenticonazole,-0.485282231
bavisant,-0.485269352
benazepril,-0.48526548
ABT-724,-0.485213887
AVN-944,-0.485115929
PFDN2,-0.485046762
trehalose,-0.484968929
dexamethasone-acetate,-0.484901999
rociletinib,-0.484817552
ICI-162846,-0.484790889
TINF2,-0.484739583
milrinone,-0.48470118
bitopertin,-0.484639344
CP-945598,-0.484479414
KBG,-0.484469772
amsacrine,-0.484469536
AVL-292,-0.484418219
CXCR4,-0.484342374
imexon,-0.484179878
etodolac,-0.484170132
tipifarnib-P2,-0.484129388
methoxsalen,-0.484121373
cyproheptadine,-0.484060559
floxuridine,-0.483995136
balaglitazone,-0.483875192
irinotecan,-0.483847808
benzydamine,-0.483838735
meisoindigo,-0.483835811
imiloxan,-0.483821875
tecastemizole,-0.483810416
DMP-543,-0.483674487
LY-294002,-0.483638667
dabigatran-etexilate,-0.483553379
timolol,-0.483447202
vardenafil,-0.483441817
r(-)-apomorphine,-0.483327259
MK-0752,-0.483315116
formestane,-0.483310053
HDAC2,-0.483276366
macitentan,-0.483237586
emedastine,-0.483226233
PF-04457845,-0.483210827
clomethiazole,-0.483126723
anisodamine,-0.482986302
isbufylline,-0.482923635
alizapride,-0.482885206
etomidate,-0.482807258
fluocinolone-acetonide,-0.482703845
piclamilast,-0.482663455
KRAS,-0.482661294
febuxostat,-0.482653374
argatroban,-0.482614818
dapagliflozin,-0.482574087
AZD-7687,-0.482537977
isofloxythepin,-0.482512663
AKT2,-0.482407741
PF-03084014,-0.482257976
erythromycin-ethylsuccinate,-0.482219446
voxtalisib,-0.482189102
ICI-192605,-0.482172303
midodrine,-0.482136229
raloxifene,-0.482129622
ritodrine,-0.482099061
dalfampridine,-0.482055675
suprofen,-0.482000742
tofacitinib,-0.481961254
diacerein,-0.481913392
birinapant,-0.481876054
AKT1,-0.481684944
bosentan,-0.481560408
bumetanide,-0.481525075
sulfadoxine,-0.481405249
maprotiline,-0.481324997
tasquinimod,-0.481316704
licarbazepine,-0.481296256
AEE-788,-0.481293636
omecamtiv-mecarbil,-0.481154014
gemfibrozil,-0.481070947
ammonium-glycyrrhizinate,-0.480992718
ulipristal,-0.480990581
fingolimod,-0.480976473
golvatinib,-0.480881468
rottlerin,-0.480826107
senicapoc,-0.480823605
quetiapine,-0.480817603
PPP2R2C,-0.480804297
ganaxolone,-0.480758554
darunavir,-0.48063631
deferasirox,-0.480617827
tyrphostin-AG-112,-0.480600067
zaprinast,-0.480367009
bendroflumethiazide,-0.480366013
zalcitabine,-0.480361159
dequalinium,-0.480245734
ORE-1001,-0.48012427
regadenoson,-0.48010291
pilocarpine,-0.480078816
penitrem-a,-0.480071424
medrysone,-0.480058755
lenalidomide,-0.479952276
olmesartan-medoxomil,-0.479746232
sodium-gualenate,-0.479713312
topiramate,-0.479692814
methiopril,-0.479498187
erteberel,-0.479481002
ABT-239,-0.479412007
ARN-509,-0.479397593
IOWH-032,-0.479347533
KN-93,-0.479296845
tacalcitol,-0.479276512
anagrelide,-0.479101098
tolnaftate,-0.479070213
RGFP-966,-0.479034384
molindone,-0.478972994
APD-668,-0.4789467
ibudilast,-0.478806058
metatinib,-0.478703984
sulfasalazine,-0.478677995
tasisulam,-0.478519891
sobetirome,-0.478423012
lersivirine,-0.478196727
levocabastine,-0.478145213
refametinib,-0.478136996
dienogest,-0.478130455
IGF2BP2,-0.478055796
CPI-1189,-0.478036705
grazoprevir,-0.477920022
NF1,-0.4778846
IKK-2-inhibitor-V,-0.477879009
cpi-169,-0.477846263
phenformin,-0.477776696
lodoxamide,-0.477659192
tanespimycin,-0.477543401
diminazene-aceturate,-0.47735301
otamixaban,-0.477233619
ketoprofen,-0.477099705
PF-04620110,-0.477058124
cobimetinib,-0.477055041
CEP-37440,-0.477015559
fluticasone-propionate,-0.476968991
flavoxate,-0.476925103
EGFR,-0.476744761
erythromycin,-0.476657962
torcitabine,-0.476583216
fasudil,-0.476216763
capsaicin,-0.476107027
LACZ,-0.476100907
nesbuvir,-0.47603245
triamcinolone-acetonide,-0.475925885
dofequidar,-0.475921709
cinaciguat,-0.475837805
firategrast,-0.47578271
folic-acid,-0.475665849
CTSK,-0.475617115
FASN,-0.475600663
mestinon,-0.475523697
sotalol,-0.475514871
ifenprodil,-0.475383208
benzbromarone,-0.475356344
rutin,-0.475196973
mitomycin-c,-0.475173179
haloperidol,-0.475092034
AMG-517,-0.475042279
colforsin-daproate,-0.474952006
KIT,-0.474877086
mannitol-D,-0.474812025
daunorubicin,-0.474788426
idalopirdine,-0.47474369
MAPKAPK2,-0.474735184
estriol,-0.474673805
HDAC1,-0.474627055
warfarin,-0.474615972
zebularine,-0.47455101
TP53,-0.474477635
sarsagenin,-0.474431164
SB-756050,-0.474392925
salermide,-0.474380153
protirelin,-0.474375596
gabapentin,-0.474339941
LUCIFERASE,-0.474336406
telatinib,-0.474205281
latanoprost,-0.4741526
LY-2886721,-0.474123551
gimeracil,-0.47389769
BRD-K73261812,-0.473773404
azathioprine,-0.47358831
CDH1,-0.473552832
dexloxiglumide,-0.473523733
teroxirone,-0.473434497
eugenol,-0.473396981
FN1,-0.473389434
T-5224,-0.473388956
S-18986,-0.473363108
cytochalasin-b,-0.473305171
EXO1,-0.473247433
AXL,-0.47315234
dacarbazine,-0.473146134
BMY-14802,-0.473117856
oprozomib,-0.473028435
vicriviroc,-0.472983321
busulfan,-0.472982406
fadrozole,-0.472975327
everolimus,-0.472890413
fentiazac,-0.472882054
calpain inhibitor ii,-0.472841598
metolazone,-0.47270256
tolbutamide,-0.472080335
cyanocobalamin,-0.471940774
BGT-226,-0.471940321
LY-2157299,-0.471842821
sulbactam,-0.471708594
pranlukast,-0.471455774
tetrahydrouridine,-0.471406448
propranolol,-0.471373437
trichostatin-a,-0.471236684
RG-2833,-0.471045645
romidepsin,-0.471021259
triptorelin,-0.470948982
conivaptan,-0.470929467
L-690330,-0.470831674
diethylstilbestrol,-0.470781193
deforolimus,-0.470532591
AP-26113,-0.470395628
lestaurtinib,-0.470309275
indirubin,-0.470118684
ginkgetin,-0.469956622
PTP4A1,-0.469941278
fludroxycortide,-0.469682777
GSK-2126458,-0.469518002
diazoxide,-0.469493058
camicinal,-0.469247877
tracazolate,-0.469143168
meloxicam,-0.469123248
fosfomycin,-0.468966213
delivert,-0.468925556
piketoprofen,-0.468870437
ERBB3,-0.468851089
metenkephalin,-0.468749105
tolperisone,-0.468597164
PHA-848125,-0.468467681
SR-27897,-0.468445631
amonafide,-0.468410227
zolpidem,-0.468276763
liranaftate,-0.468257583
AV-412,-0.467776598
ZEB1,-0.467709921
SMAD2,-0.467624871
CHMP2A,-0.467588094
clofarabine,-0.467209128
SC-12267,-0.467129305
phensuximide,-0.467127308
digoxin,-0.46688117
amiodarone,-0.466849861
albendazole,-0.466430671
RPS6,-0.465879302
AS-703026,-0.465676626
binimetinib,-0.465534331
phenylephrine,-0.465448733
LY-215490,-0.46511703
MYC,-0.464892638
LCL-161,-0.464827215
MTOR,-0.464387027
novobiocin,-0.464366438
granisetron,-0.463933369
VX-765,-0.463806551
TAS-103,-0.463638684
triptolide,-0.463571749
mycophenolate-mofetil,-0.463166343
tamibarotene,-0.463068687
menadione,-0.462884596
carfilzomib,-0.462676798
AR-A014418,-0.462599595
BCL2L1,-0.462552162
adoprazine,-0.46232983
vu0155056,-0.461781642
allopurinol,-0.461600856
bafilomycin a1,-0.461150163
LY-2784544,-0.461136895
teneligliptin,-0.461007366
dehydroepiandrosterone,-0.460681261
selinexor,-0.458929095
pentobarbital,-0.458633496
TGFBR1,-0.458448466
PKI-179,-0.458072768
molsidomine,-0.457568752
diphenylpyraline,-0.457553395
pyrazinoylguanidine,-0.457519703
tretinoin,-0.457208049
EPZ-005687,-0.456943278
SNX-2112,-0.456689144
mocetinostat,-0.456569541
dacinostat,-0.456508481
cinoxacin,-0.456337093
CRKL,-0.456274339
dazoxiben,-0.455125006
travoprost,-0.455086538
resiquimod,-0.455043923
ofloxacin,-0.454405342
gsk126,-0.454236864
AURKB,-0.45406017
VE-822,-0.45365831
bruceantin,-0.453594385
roflumilast,-0.453577226
perampanel,-0.453557825
phorbol-myristate-acetate,-0.452949338
homoharringtonine,-0.45242314
pevonedistat,-0.452146374
epz004777,-0.451621202
bms-906024,-0.451524551
KN-62,-0.451100442
IPI-145,-0.450712008
tranilast,-0.449419503
"4,5,6,7-tetrabromobenzotriazole",-0.44901579
rotundine,-0.448303766
genz-644282,-0.448038141
delanzomib,-0.446869369
okadaic acid,-0.446572884
compound e,-0.443949011
efatutazone,-0.44393917
AZD-2014,-0.439562406
L-ergothioneine,-0.433142649
fdcyd,-0.431044486
